received_utc,imei,codec,record_utc,timestamp_ms,priority,latitude,longitude,altitude_m,angle_deg,satellites,speed_kmh,event_io_id,io_json
2026-06-30T19:38:59Z,862272088542776,Codec8E,2026-06-26 08:02:37.000 UTC,1782460957000,0,40.1081900,-8.5083900,0,0,0,0,303,"{""239"":1,""240"":1,""21"":5,""200"":0,""69"":2,""237"":2,""113"":100,""303"":0,""383"":3,""1149"":1,""181"":0,""182"":0,""66"":14880,""24"":0,""206"":48740,""67"":4119,""68"":0,""13"":105,""17"":-38,""18"":-7,""19"":12,""15"":0,""241"":26806,""199"":0,""16"":35622,""12"":372,""449"":0,""636"":339499,""1148"":76,""11"":8935106000,""14"":1160700155,""387"":""2b3430313038312e393030302d303038353038332e393030302b3030302e3030302f""}"
2026-06-30T19:38:59Z,862272088542776,Codec8E,2026-06-26 08:03:07.000 UTC,1782460987000,0,40.1081900,-8.5083900,0,0,3,0,239,"{""239"":0,""240"":1,""21"":5,""200"":0,""69"":2,""237"":2,""113"":100,""303"":0,""383"":3,""1149"":1,""181"":52,""182"":51,""66"":13099,""24"":0,""206"":48740,""67"":4119,""68"":0,""13"":105,""17"":-38,""18"":-11,""19"":7,""15"":0,""241"":26806,""199"":0,""16"":35622,""12"":372,""449"":0,""636"":339499,""1148"":76,""11"":8935106000,""14"":1160700155,""387"":""2b3430313038312e393030302d303038353038332e393030302b3030302e3030302f""}"
2026-06-30T19:38:59Z,862272088542776,Codec8E,2026-06-26 08:03:14.000 UTC,1782460994000,0,40.1109033,-8.4994933,65,249,5,1,0,"{""239"":0,""240"":1,""21"":5,""200"":0,""69"":1,""237"":2,""113"":100,""303"":0,""383"":3,""1149"":1,""181"":18,""182"":16,""66"":12878,""24"":1,""206"":48740,""67"":4119,""68"":0,""13"":105,""17"":-41,""18"":-11,""19"":7,""15"":0,""241"":26806,""199"":0,""16"":35622,""12"":372,""449"":0,""636"":339499,""1148"":76,""11"":8935106000,""14"":1160700155,""387"":""2b3430313130392e303333332d303038343939342e393333332b3030302e3036352f""}"
2026-06-30T19:38:59Z,862272088542776,Codec8E,2026-06-26 08:03:36.000 UTC,1782461016000,0,40.1109400,-8.4994866,69,277,5,0,240,"{""239"":0,""240"":0,""21"":5,""200"":0,""69"":1,""237"":2,""113"":100,""303"":0,""383"":3,""1149"":1,""181"":18,""182"":16,""66"":12796,""24"":0,""206"":48740,""67"":4119,""68"":0,""13"":105,""17"":-37,""18"":-10,""19"":8,""15"":0,""241"":26806,""199"":0,""16"":35622,""12"":372,""449"":0,""636"":339499,""1148"":69,""11"":8935106000,""14"":1160700155,""387"":""2b3430313130392e343030302d303038343939342e383636372b3030302e3036392f""}"
2026-06-30T19:38:59Z,862272088542776,Codec8E,2026-06-26 08:04:33.000 UTC,1782461073000,0,40.1109400,-8.4994866,69,277,12,0,239,"{""239"":1,""240"":0,""21"":5,""200"":0,""69"":1,""237"":2,""113"":100,""303"":0,""383"":3,""1149"":1,""181"":11,""182"":8,""66"":13984,""24"":0,""206"":48740,""67"":4119,""68"":0,""13"":105,""17"":-39,""18"":-11,""19"":10,""15"":0,""241"":26806,""199"":0,""16"":35622,""12"":372,""449"":0,""636"":339499,""1148"":76,""11"":8935106000,""14"":1160700155,""387"":""2b3430313130392e343030302d303038343939342e383636372b3030302e3036392f""}"
2026-06-30T19:39:00Z,862272088542776,Codec8E,2026-06-26 08:05:08.000 UTC,1782461108000,0,40.1109400,-8.4994866,68,277,11,0,303,"{""239"":1,""240"":0,""21"":4,""200"":0,""69"":1,""237"":2,""113"":100,""303"":1,""383"":3,""1149"":1,""181"":12,""182"":8,""66"":14879,""24"":0,""206"":48740,""67"":4119,""68"":0,""13"":108,""17"":-1,""18"":-23,""19"":32,""15"":0,""241"":26806,""199"":0,""16"":35622,""12"":382,""449"":0,""636"":339499,""1148"":76,""11"":8935106000,""14"":1160700155,""387"":""2b3430313130392e343030302d303038343939342e383636372b3030302e3036382f""}"
2026-06-30T19:39:00Z,862272088542776,Codec8E,2026-06-26 08:05:09.000 UTC,1782461109000,0,40.1109783,-8.4997466,68,301,11,6,240,"{""239"":1,""240"":1,""21"":4,""200"":0,""69"":1,""237"":2,""113"":100,""303"":1,""383"":3,""1149"":1,""181"":12,""182"":8,""66"":14895,""24"":6,""206"":48740,""67"":4119,""68"":0,""13"":108,""17"":80,""18"":-44,""19"":5,""15"":0,""241"":26806,""199"":0,""16"":35622,""12"":382,""449"":0,""636"":339499,""1148"":76,""11"":8935106000,""14"":1160700155,""387"":""2b3430313130392e373833332d303038343939372e343636372b3030302e3036382f""}"
2026-06-30T19:39:00Z,862272088542776,Codec8E,2026-06-26 08:05:14.000 UTC,1782461114000,0,40.1110583,-8.4998716,69,314,9,9,0,"{""239"":1,""240"":1,""21"":4,""200"":0,""69"":1,""237"":2,""113"":100,""303"":1,""383"":3,""1149"":1,""181"":13,""182"":10,""66"":14906,""24"":9,""206"":48740,""67"":4119,""68"":0,""13"":108,""17"":15,""18"":-30,""19"":24,""15"":1000,""241"":26806,""199"":14,""16"":35636,""12"":382,""449"":0,""636"":339499,""1148"":76,""11"":8935106000,""14"":1160700155,""387"":""2b3430313131302e353833332d303038343939382e373136372b3030302e3036392f""}"
2026-06-30T19:39:00Z,862272088542776,Codec8E,2026-06-26 08:05:15.000 UTC,1782461115000,0,40.1110816,-8.4998916,69,324,8,10,0,"{""239"":1,""240"":1,""21"":4,""200"":0,""69"":1,""237"":2,""113"":100,""303"":1,""383"":3,""1149"":1,""181"":48,""182"":17,""66"":14828,""24"":10,""206"":48740,""67"":4119,""68"":0,""13"":108,""17"":0,""18"":-28,""19"":39,""15"":1000,""241"":26806,""199"":17,""16"":35639,""12"":382,""449"":0,""636"":339499,""1148"":76,""11"":8935106000,""14"":1160700155,""387"":""2b3430313131302e383136372d303038343939382e393136372b3030302e3036392f""}"
2026-06-30T19:39:00Z,862272088542776,Codec8E,2026-06-26 08:05:19.000 UTC,1782461119000,0,40.1111433,-8.4999749,70,291,7,8,0,"{""239"":1,""240"":1,""21"":4,""200"":0,""69"":1,""237"":2,""113"":100,""303"":1,""383"":3,""1149"":1,""181"":15,""182"":12,""66"":14878,""24"":8,""206"":48740,""67"":4119,""68"":0,""13"":108,""17"":14,""18"":-1,""19"":7,""15"":1000,""241"":26806,""199"":27,""16"":35649,""12"":382,""449"":0,""636"":339499,""1148"":76,""11"":8935106000,""14"":1160700155,""387"":""2b3430313131312e343333332d303038343939392e373530302b3030302e3037302f""}"
2026-06-30T19:39:02Z,862272088542776,Codec8E,2026-06-26 08:05:20.000 UTC,1782461120000,0,40.1111533,-8.4999916,70,301,7,8,0,"{""239"":1,""240"":1,""21"":4,""200"":0,""69"":1,""237"":2,""113"":100,""303"":1,""383"":3,""1149"":1,""181"":15,""182"":12,""66"":14894,""24"":8,""206"":48740,""67"":4119,""68"":0,""13"":108,""17"":-96,""18"":6,""19"":16,""15"":1000,""241"":26806,""199"":27,""16"":35649,""12"":382,""449"":0,""636"":339499,""1148"":76,""11"":8935106000,""14"":1160700155,""387"":""2b3430313131312e353333332d303038343939392e393136372b3030302e3037302f""}"
2026-06-30T19:39:02Z,862272088542776,Codec8E,2026-06-26 08:05:21.000 UTC,1782461121000,0,40.1111633,-8.5000083,70,319,8,7,0,"{""239"":1,""240"":1,""21"":4,""200"":0,""69"":1,""237"":2,""113"":100,""303"":1,""383"":3,""1149"":1,""181"":15,""182"":11,""66"":14871,""24"":7,""206"":48740,""67"":4119,""68"":0,""13"":108,""17"":-133,""18"":33,""19"":78,""15"":1000,""241"":26806,""199"":31,""16"":35653,""12"":382,""449"":0,""636"":339499,""1148"":76,""11"":8935106000,""14"":1160700155,""387"":""2b3430313131312e363333332d303038353030302e303833332b3030302e3037302f""}"
2026-06-30T19:39:02Z,862272088542776,Codec8E,2026-06-26 08:05:23.000 UTC,1782461123000,0,40.1111833,-8.5000366,70,302,8,7,0,"{""239"":1,""240"":1,""21"":4,""200"":0,""69"":1,""237"":2,""113"":100,""303"":1,""383"":3,""1149"":1,""181"":15,""182"":11,""66"":14877,""24"":7,""206"":48740,""67"":4119,""68"":0,""13"":108,""17"":-65,""18"":-49,""19"":41,""15"":1000,""241"":26806,""199"":34,""16"":35656,""12"":382,""449"":0,""636"":339499,""1148"":76,""11"":8935106000,""14"":1160700155,""387"":""2b3430313131312e383333332d303038353030302e333636372b3030302e3037302f""}"
